D/T,Julian Day,Month,AAT,WS,WD,RH,SR,Agitation,Ag,P,NH3_g/m2/s,NH3_mg/m2/d,Crust
9/16/08 18:15,259.76,9,20.01,1.34,291.13,54.65,769.10,0,0,99.30,,,0
9/16/08 18:45,259.78,9,20.15,1.45,276.20,50.75,781.80,0,0,99.30,,,0
9/16/08 19:15,259.80,9,20.55,0.60,291.70,47.16,712.80,0,0,99.20,0.00,1407.06,0
9/16/08 19:45,259.82,9,20.69,1.10,295.00,47.60,654.60,0,0,99.20,0.00,3666.59,0
9/16/08 20:15,259.84,9,21.57,1.00,274.90,48.96,594.30,0,0,99.20,0.00,1706.85,0
9/16/08 20:45,259.86,9,21.60,1.10,259.40,44.28,513.50,0,0,99.10,0.00,3502.83,0
9/16/08 21:15,259.89,9,21.33,1.10,275.40,48.25,429.20,0,0,99.10,0.00,2276.97,0
9/16/08 21:45,259.91,9,21.23,1.10,287.80,46.14,338.90,0,0,99.10,0.00,2062.87,0
9/16/08 22:15,259.93,9,20.93,0.70,278.00,48.11,249.90,0,0,99.10,0.00,437.12,0
9/16/08 22:45,259.95,9,20.08,0.50,235.40,52.45,157.50,0,0,99.10,,,0
9/16/08 23:15,259.97,9,19.81,0.10,242.30,59.33,73.17,0,0,99.10,,,0
9/16/08 23:45,259.99,9,17.54,0.53,284.01,65.67,11.03,0,0,99.10,,,0
9/17/08 0:15,260.01,9,14.76,0.55,270.91,85.50,0.17,0,0,99.10,,,0
9/17/08 0:45,260.03,9,13.65,0.54,265.56,88.30,0.00,0,0,99.10,,,0
9/17/08 1:15,260.05,9,12.70,0.45,221.66,90.30,0.00,0,0,99.10,,,0
9/17/08 1:45,260.07,9,12.46,0.39,168.67,90.20,0.00,0,0,99.10,,,0
9/17/08 2:15,260.09,9,11.99,0.20,126.98,92.60,0.00,0,0,99.10,,,0
9/17/08 2:45,260.11,9,11.86,0.18,94.14,93.70,0.00,0,0,99.10,,,0
9/17/08 3:15,260.14,9,10.91,0.33,143.94,93.60,0.00,0,0,99.10,,,0
9/17/08 3:45,260.16,9,10.64,0.38,185.93,94.30,0.00,0,0,99.10,,,0
9/17/08 4:15,260.18,9,11.01,0.26,164.88,94.80,0.00,0,0,99.10,,,0
9/17/08 4:45,260.20,9,10.23,0.42,180.68,94.60,0.00,0,0,99.10,,,0
9/17/08 5:15,260.22,9,9.76,0.90,195.24,94.60,0.00,0,0,99.10,,,0
9/17/08 5:45,260.24,9,10.54,0.55,210.53,95.20,0.00,0,0,99.20,,,0
9/17/08 6:15,260.26,9,10.30,0.44,204.75,95.40,0.00,0,0,99.20,,,0
9/17/08 6:45,260.28,9,9.86,0.57,185.40,95.30,0.00,0,0,99.10,,,0
9/17/08 7:15,260.30,9,9.93,0.71,191.13,95.50,0.00,0,0,99.10,,,0
9/17/08 7:45,260.32,9,9.86,0.72,216.77,95.60,0.00,0,0,99.10,,,0
9/17/08 8:15,260.34,9,9.66,0.87,188.87,95.10,0.00,0,0,99.10,,,0
9/17/08 8:45,260.36,9,9.35,1.05,180.74,94.90,0.00,0,0,99.10,,,0
9/17/08 9:15,260.39,9,9.39,0.81,182.17,94.80,0.00,0,0,99.10,,,0
9/17/08 9:45,260.41,9,9.46,0.74,176.30,94.90,0.00,0,0,99.10,,,0
9/17/08 10:15,260.43,9,9.19,0.74,188.59,94.90,0.00,0,0,99.10,,,0
9/17/08 10:45,260.45,9,9.39,0.90,198.12,95.10,0.00,0,0,99.10,,,0
9/17/08 11:15,260.47,9,9.22,1.41,197.47,95.10,0.75,0,0,99.20,,,0
9/17/08 11:45,260.49,9,9.56,1.15,201.59,95.00,16.46,0,0,99.20,,,0
9/17/08 12:15,260.51,9,10.70,1.18,196.24,89.40,88.80,0,0,99.30,,,0
9/17/08 12:45,260.53,9,12.49,1.45,211.23,85.30,184.50,0,0,99.30,,,0
9/17/08 13:15,260.55,9,13.88,1.70,226.20,84.00,268.40,0,0,99.30,0.00,2116.90,0
9/17/08 13:45,260.57,9,15.58,2.10,227.30,80.70,361.20,0,0,99.30,0.00,2801.56,0
9/17/08 14:15,260.59,9,17.43,2.00,231.00,76.52,449.10,0,0,99.30,0.00,3066.11,0
9/17/08 14:45,260.61,9,18.59,2.30,232.80,71.20,526.60,0,0,99.30,0.00,3174.52,0
9/17/08 15:15,260.64,9,20.18,2.50,230.50,63.98,598.10,0,0,99.30,0.00,4563.69,0
9/17/08 15:45,260.66,9,20.99,2.80,224.30,59.87,656.00,0,0,99.30,,,0
9/17/08 16:15,260.68,9,21.91,2.70,229.70,58.93,705.30,0,0,99.30,0.00,4881.00,0
9/17/08 16:45,260.70,9,22.86,2.30,230.00,55.43,739.70,0,0,99.30,0.00,6063.29,0
9/17/08 17:15,260.72,9,22.99,2.56,247.13,54.99,760.40,0,0,99.30,0.00,2404.35,0
9/17/08 17:45,260.74,9,23.84,2.93,238.17,52.04,764.10,0,0,99.30,0.00,0.00,0
9/17/08 18:15,260.76,9,24.21,3.52,231.71,49.84,755.30,0,0,99.30,0.00,4916.58,0
9/17/08 18:45,260.78,9,24.79,2.10,246.20,45.53,730.80,0,0,99.30,0.00,3320.58,0
9/17/08 19:15,260.80,9,25.36,2.10,243.20,49.12,690.00,0,0,99.30,0.00,2347.24,0
9/17/08 19:45,260.82,9,25.83,2.35,251.19,44.85,638.10,0,0,99.30,0.00,2463.00,0
9/17/08 20:15,260.84,9,26.00,2.20,260.60,46.31,574.30,0,0,99.30,0.00,3771.24,0
9/17/08 20:45,260.86,9,26.21,1.90,242.80,46.88,500.40,0,0,99.30,0.00,4019.47,0
9/17/08 21:15,260.89,9,26.17,1.70,247.70,43.60,420.10,0,0,99.20,0.00,2496.64,0
9/17/08 21:45,260.91,9,25.80,0.70,266.20,45.53,334.60,0,0,99.20,0.00,256.53,0
9/17/08 22:15,260.93,9,25.64,1.30,266.04,48.99,243.90,0,0,99.20,,,0
9/17/08 22:45,260.95,9,24.82,1.37,255.33,48.96,154.00,0,0,99.20,,,0
9/17/08 23:15,260.97,9,23.26,1.14,254.57,55.43,67.80,0,0,99.20,,,0
9/17/08 23:45,260.99,9,21.37,0.53,279.02,64.52,7.97,0,0,99.20,,,0
9/18/08 0:15,261.01,9,19.06,0.44,269.71,76.32,0.00,0,0,99.20,,,0
